"id","name","slug","price","specs","amount","place","img","show"
1,"מארז כרמל","מארז-כרמל","235","כלי לדבש- רימון מקרמיקה+ כפית
 צנצנת דבש 250 גרם- משק פתורה
שמן זית בפח 300 מל -משק פתורה
חמסה לברכת הבית
מגבת מטבח יפה ואיכותית

מוצרי המזון כשרים למהדרין",5,6,"/img/packs/karmel.jpg",True
2,"מארז ארבל","מארז-ארבל","235","שמן זית בבקבוק נפוליאון מהודר 500 מל׳- משק פתורה
שתי מגבות מטבח יפות ואיכותיות
 צנצנת דבש 250 גרם- משק פתורה
 רודה דבש מעץ
 מפיות נייר מעוטרות,
צמח סוקולנטים בעציץ טרקוטה

כשר למהדרין",5,5,"/img/packs/arbel.jpg",True
3,"מארז ארגמן","מארז-ארגמן","185","שמן זית בפח 400 מיל׳ - משק פתורה,
רוטב עגבניות שרי איטלקי לפסטה,
חומץ בלסמי איטלקי מצומצם
מגבת יפה ואיכותית,
חבילת מפיות מעוטרות 

בלסמי ורוטב עגבניות כשרים באישור הרבנות הראשית לישראל
שמן זית כשר למהדרין",5,4,"/img/packs/argaman.jpg",True
4,"מארז עצמון","מארז-עצמון","87","קרש חיתוך מעץ
מגבת מטבח יפה ואיכותית
צנצנת דבש 250 גרם-משק פתורה
רודה דבש מעץ

כשר למהדרין",5,10,"/img/packs/azmon.jpg",True
5,"מארז גדיר","מארז-גדיר","98","בקבוק שמן זית 250 מ""ל -משק פתורה
חומץ בלסמי איטלקי מצומצם
בקבוק רוטב עגבניות שרי איטלקי לפסטה
מגבת מטבח יפה ואיכותית

המוצרים מאיטליה בכשרות הרבנות הראשית לישראל
שמן זית כשר למהדרין",4,11,"/img/packs/gdir.jpg",True
6,"מארז גלבוע","מארז-גלבוע","290","שמן זית איטלקי 750 מל׳
ספר בישול- מתכוני תשרי
שלוש מגבות מטבח יפות ואיכותיות,
כלי לדבש- רימון מקרמיקה+ כפית
דבש 250 גרם- משק פתורה
 צמח תבלין

שמן הזית כשר באישור הרבנות לישראל, ניתן להחליף לכשרות מהדרין.
הדבש כשר למהדרין",5,2,"/img/packs/gilboa.jpg",True
7,"מארז גילון","מארז-גילון","245","סט קרש חיתוך+ סכינים להגשת גבינות 35/25ס""מ
 מגבת מטבח יפה ואיכותית
צנצנת דבש 140 גרם- משק פתורה,
רודה דבש מעץ 
 כלי לדבש- תפוח מהודר מזכוכית שקופה
 ריבת רימונים/תפוחים 140 גרם- משק פתורה
שני צמחים סוקולנטים בעציצי טרקוטה",4,7,"/img/packs/gilon.jpg",True
8,"מארז גולן","מארז-גולן","97","תחתית ממתכת לכלי חם
מגבת מטבח יפה ואיכותית
דבש משק פתורה 140 גרם
רודה דבש מעץ 
חמסה לברכת הבית

כשר למהדרין",5,12,"/img/packs/golan.jpg",True
9,"מארז חרמון","מארז-חרמון","310","קרש חיתוך מעץ
שמן זית בפח 400 מל׳- משק פתורה
צנצנת דבש 250 גרם- משק פתורה
כלי לדבש- רימון מקרמיקה+ כפית
שתי מגבות מטבח יפות ואיכותיות
מפיות נייר מעוטרות,
צמח תבלין

כשר למהדרין",4,3,"/img/packs/hermon.jpg",True
10,"מארז כנען","מארז-כנען","72","2 מגבות מטבח יפות ואיכותיות
נר בכלי חרס

חמסה לברכת הבית",4,13,"/img/packs/knann.jpg",True
11,"מארז חרמון","מארז-חרמון","310","קרש חיתוך מעץ
שמן זית בפח 400 מל׳- משק פתורה
צנצנת דבש 250 גרם- משק פתורה
כלי לדבש- רימון מקרמיקה+ כפית
שתי מגבות מטבח יפות ואיכותיות
מפיות נייר מעוטרות,
צמח תבלין

כשר למהדרין",4,3,"/img/packs/hermon.jpg",True
12,"מארז כרמים","מארז-כרמים","115","מגבת מטבח יפה ואיכותית,
חמסה לברכת הבית
צנצנת ריבת רימונים/תפוחים 140 גרם- משק פתורה
 צנצנת דבש 140 גרם- משק פתורה
 נר בכלי חרס

כשר למהדרין",5,9,"/img/packs/kramim.jpg",True
13,"מארז ניתאי","מארז-ניתאי","97","כלי רימון לדבש מקרמיקה עם כפית
מגבת מטבח יפה ואיכותית,
צנצנת דבש 140 גרם משק פתורה

כשר למהדרין",4,11,"/img/packs/nitai.jpg",True
15,"מארז רמון","מארז-רמון","265","מארז רמון
סט קרש חיתוך+ סכינים להגשת גבינות 35/25 ס""מ
מגבת מטבח יפה ואיכותית
 צנצנת דבש 140 גרם- משק פתורה
 רודה דבש מעץ
ריבת רימונים/תפוחים 140 גרם- משק פתורה
כלי לדבש- רימון מקרמיקה
שני צמחים סוקולנטים בעציצי טרקוטה

כשר למהדרין",44,8,"/img/packs/ramon.jpg",True
16,"מארז שחמון","מארז-שחמון","67","3 מגבות יפהפיות ואיכותיות
חמסה לברכת הבית",5,0,"/img/packs/shacmon.jpg",True
17,"מארז תבור","מארז-תבור","285","כלי לדבש- רימון מקרמיקה+ כפית
צנצנת דבש 250 גרם- משק פתורה
קרש חיתוך מעץ
חמסה לברכת הבית
שתי מגבות מטבח יפות ואיכותיות
שתי כפות עץ
צמח תבלין

כשר למהדרין",4,1,"/img/packs/tavor.jpg",True
18,"מארז יעלים","מארז-יעלים","63","2 מגבות מטבח יפיפיות ואיכותיות
צנצנת דבש 140 גר'-משק פתורה
רודה דבש מעץ

כשר למהדרין",5,0,"/img/packs/yaelim.jpg",True
